桩号,填方面积(㎡),挖方面积(㎡),清表面积(㎡),清表左边界X,清表右边界X,top,CRR,C1,C2,G15,G7,top,CRR,C1,C2,G15,G17
K90+100,0.521,1.395,3.713,-6.428,5.835,0.253,0.788,0.833,0.879,0.924,0.970,0.253,0.789,0.837,0.884,0.932,0.979
K90+125,0.787,0.971,3.744,-6.600,5.710,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+150,1.420,0.782,4.068,-7.396,6.039,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+175,2.895,0.298,4.388,-7.948,6.505,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+200,4.213,0.128,4.374,-7.605,6.751,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+225,5.430,0.000,4.889,-9.415,6.781,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+250,8.063,0.000,5.415,-10.629,6.987,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+275,8.691,0.000,4.947,-9.281,7.132,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+300,13.350,0.000,5.544,-10.630,7.306,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+325,16.052,0.000,5.409,-10.451,7.359,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+350,17.801,0.000,6.368,-10.481,10.430,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+375,16.687,0.030,6.630,-11.276,10.403,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+400,15.978,0.073,6.452,-11.035,10.113,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+425,17.809,0.015,6.509,-10.728,10.676,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+450,18.162,0.052,6.358,-10.433,10.546,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+475,18.051,0.202,6.602,-10.804,10.850,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+500,17.105,0.000,6.527,-10.667,10.553,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+525,17.944,0.001,6.463,-10.605,10.751,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+550,17.125,0.032,6.437,-10.474,10.677,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+575,17.337,0.039,6.611,-10.534,10.976,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+600,17.550,0.000,6.488,-10.266,11.066,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+625,18.289,0.012,6.615,-10.665,11.119,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+650,19.981,0.000,6.747,-11.092,11.156,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+675,20.139,0.000,6.662,-10.745,11.201,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+700,21.240,0.000,6.786,-11.056,11.334,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+725,21.811,0.000,6.842,-11.226,11.295,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+750,23.063,0.000,6.898,-11.452,11.275,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+775,23.128,0.000,6.864,-11.268,11.316,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+800,22.408,0.000,6.893,-11.470,11.185,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+825,19.784,0.000,7.005,-11.618,11.327,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+850,19.715,0.000,7.020,-11.729,11.317,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+875,18.292,0.000,7.044,-11.780,11.375,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+900,18.341,0.000,7.060,-11.681,11.474,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+925,20.566,0.000,7.068,-11.737,11.531,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+950,22.148,0.000,7.118,-11.929,11.495,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K90+975,24.247,0.000,7.160,-11.921,11.659,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+000,23.741,0.000,7.150,-11.979,11.565,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+025,24.864,0.000,7.256,-12.068,11.745,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+050,25.108,0.000,7.241,-11.980,11.773,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+075,24.581,0.000,7.407,-11.985,12.233,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+100,26.296,0.000,7.436,-12.165,12.265,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+125,27.513,0.000,7.464,-12.166,12.217,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+150,26.910,0.000,7.398,-12.021,12.164,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+175,28.355,0.000,7.414,-12.207,12.127,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+200,29.339,0.000,7.297,-12.225,11.851,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+225,26.717,0.000,7.036,-12.213,11.113,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+250,29.286,0.000,7.668,-12.205,12.932,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+275,28.901,0.000,7.760,-12.274,13.055,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+300,27.013,0.000,7.396,-12.100,12.137,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+325,24.974,0.000,7.505,-12.055,12.520,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+350,22.669,0.000,7.553,-12.204,12.367,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+375,26.715,0.000,7.453,-12.193,12.287,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+400,28.436,0.000,7.695,-12.304,12.744,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+425,28.350,0.000,7.531,-12.206,12.508,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+450,29.101,0.000,7.573,-12.127,12.658,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+475,30.142,0.000,7.556,-12.143,12.756,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+500,30.625,0.000,7.576,-12.177,12.728,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+525,28.347,0.000,7.426,-12.054,12.331,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+550,29.091,0.000,7.368,-11.893,12.363,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+575,29.322,0.000,7.434,-12.075,12.451,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+600,28.663,0.000,7.382,-12.052,12.264,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+625,26.138,0.000,7.306,-11.823,12.243,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+650,26.690,0.000,7.434,-12.185,12.307,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+675,26.574,0.000,7.206,-11.738,12.063,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+700,28.797,0.000,7.342,-12.249,12.030,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+725,28.199,0.000,7.273,-12.364,11.745,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+750,30.392,0.000,7.390,-12.218,12.210,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+775,30.405,0.000,7.412,-12.281,12.071,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+800,30.937,0.000,7.279,-11.883,12.164,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+825,30.022,0.000,7.365,-11.935,12.389,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+850,33.128,0.000,7.481,-12.395,12.321,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+875,34.377,0.000,7.551,-12.643,12.274,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+900,35.117,0.000,7.596,-12.701,12.370,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+925,35.491,0.000,7.619,-12.863,12.209,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+950,37.010,0.000,7.571,-12.835,12.098,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K91+975,37.312,0.000,7.599,-12.902,12.157,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+000,38.145,0.000,7.741,-12.746,12.098,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+025,35.373,0.000,7.439,-12.687,11.832,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+050,36.581,0.000,7.540,-12.693,12.119,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+075,36.895,0.000,7.583,-12.816,12.241,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+100,35.788,0.000,7.582,-12.862,12.117,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+125,36.531,0.000,7.600,-12.828,12.269,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+150,36.039,0.000,7.643,-12.935,12.337,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+175,35.593,0.000,7.626,-12.949,12.076,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+200,35.711,0.000,7.476,-12.702,12.047,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+225,35.471,0.000,7.488,-12.909,11.819,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+250,34.838,0.000,7.430,-12.643,11.851,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+275,30.415,0.000,7.141,-12.800,10.900,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+300,30.461,0.000,7.492,-12.548,12.146,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+325,34.107,0.000,7.477,-12.685,12.119,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+350,36.953,0.000,7.586,-12.783,12.292,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+375,38.467,0.000,7.605,-12.879,12.326,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+400,39.382,0.000,7.594,-12.820,12.340,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+425,38.812,0.000,7.581,-12.837,12.265,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+450,38.187,0.000,7.498,-12.645,12.206,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+475,38.943,0.000,7.614,-12.867,12.352,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+500,38.298,0.000,7.611,-12.793,12.386,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+525,38.117,0.000,7.647,-12.982,12.356,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+550,36.991,0.000,7.553,-12.842,12.166,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+575,37.081,0.000,7.618,-12.932,12.234,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+600,36.714,0.000,7.595,-12.846,12.251,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+625,36.690,0.000,7.594,-13.000,12.122,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+650,35.074,0.000,7.730,-13.013,12.455,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+675,34.368,0.000,7.676,-12.964,12.396,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+700,43.030,0.000,8.157,-12.967,12.474,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+725,34.038,0.000,7.626,-12.729,12.488,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+750,34.306,0.000,7.646,-12.931,12.288,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+775,35.263,0.000,7.700,-12.902,12.531,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+800,33.354,0.000,7.464,-12.187,12.507,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+825,32.173,0.000,7.486,-12.193,12.428,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+850,34.715,0.000,7.622,-12.744,12.438,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+875,34.867,0.000,7.569,-12.725,12.296,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+900,34.243,0.000,7.460,-12.490,12.205,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+925,37.472,0.000,7.539,-12.738,12.242,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+950,39.164,0.000,7.475,-12.705,12.092,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K92+975,39.754,0.000,7.423,-12.884,11.700,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+000,39.800,0.000,7.408,-12.910,11.655,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+025,40.736,0.000,7.467,-12.920,11.747,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+050,44.761,0.000,7.793,-13.429,12.264,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+075,46.770,0.000,7.811,-13.384,12.494,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+100,46.286,0.000,7.744,-13.175,12.399,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+125,44.187,0.000,7.608,-13.050,12.136,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+150,43.627,0.000,7.595,-13.029,12.152,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+175,44.229,0.000,7.576,-12.742,12.345,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+200,43.572,0.000,7.557,-13.083,12.002,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+225,42.690,0.000,7.614,-13.035,12.161,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+250,41.429,0.000,7.551,-12.936,12.090,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+275,38.991,0.000,7.426,-12.670,11.963,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+300,37.332,0.000,7.291,-12.430,11.776,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+325,34.603,0.000,7.160,-12.341,11.450,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+350,32.512,0.000,7.106,-12.099,11.540,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+375,30.703,0.000,7.101,-12.057,11.498,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+400,32.537,0.000,7.194,-12.283,11.552,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+425,32.069,0.000,7.158,-12.194,11.540,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+450,30.578,0.000,7.159,-12.284,11.449,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+475,28.737,0.000,7.129,-12.091,11.549,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+500,25.561,0.000,7.169,-12.192,11.537,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+525,25.094,0.000,7.083,-11.919,11.504,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+550,26.881,0.000,7.064,-11.911,11.484,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+575,26.204,0.000,7.113,-11.951,11.593,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+600,27.528,0.000,7.134,-12.088,11.518,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+625,27.456,0.000,7.124,-12.072,11.527,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+650,27.108,0.000,7.152,-12.059,11.596,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+675,28.059,0.000,7.157,-12.107,11.544,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+700,26.980,0.000,7.068,-11.935,11.482,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+725,26.559,0.000,7.013,-11.967,11.252,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+750,25.270,0.000,7.113,-12.030,11.526,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+775,21.579,0.000,7.083,-11.719,11.530,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+800,23.393,0.000,6.950,-11.723,11.319,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+825,23.968,0.000,7.056,-11.927,11.399,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+850,22.932,0.000,7.041,-11.936,11.346,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+875,22.647,0.000,7.024,-11.882,11.322,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+900,21.323,0.000,6.979,-11.758,11.290,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+925,21.013,0.000,7.002,-11.762,11.332,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+950,21.618,0.000,7.008,-11.831,11.348,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K93+975,20.790,0.000,7.036,-11.840,11.349,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+000,20.808,0.000,7.015,-11.729,11.347,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+025,19.899,0.000,6.952,-11.655,11.257,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+050,17.757,0.000,6.938,-11.572,11.321,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+075,19.716,0.000,6.928,-11.540,11.381,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+100,22.305,0.000,6.949,-11.660,11.315,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+125,21.914,0.000,7.035,-11.771,11.377,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+150,21.237,0.000,7.072,-11.799,11.469,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+175,21.628,0.000,7.076,-11.598,11.704,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+200,23.637,0.000,7.214,-12.019,11.639,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+225,23.374,0.000,7.194,-11.908,11.732,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+250,23.884,0.000,7.279,-12.025,11.803,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+275,24.331,0.000,7.331,-12.011,12.006,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+300,23.697,0.000,7.332,-12.139,11.856,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+325,26.023,0.000,7.210,-12.124,11.661,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+350,24.966,0.000,7.276,-11.979,11.856,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+375,25.291,0.000,7.269,-11.986,11.812,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+400,25.546,0.000,7.236,-11.933,11.821,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+425,26.346,0.000,7.223,-12.060,11.638,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+450,26.097,0.000,7.269,-11.980,11.826,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+475,27.303,0.000,7.357,-12.138,11.944,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+500,32.085,0.000,7.503,-12.480,11.882,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+525,24.967,0.000,7.305,-12.347,11.707,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+550,24.856,0.000,7.243,-12.217,11.613,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+575,25.217,0.000,7.384,-12.278,11.758,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+600,24.909,0.000,7.345,-12.229,11.914,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+625,23.370,0.000,7.291,-12.103,11.762,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+650,24.387,0.000,7.251,-12.122,11.705,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+675,24.724,0.000,7.286,-12.101,11.835,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+700,21.055,0.000,7.263,-11.969,11.797,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+725,21.651,0.000,7.125,-11.698,11.643,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+750,20.749,0.000,7.034,-11.750,11.487,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K94+775,24.014,0.000,7.199,-12.067,11.598,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
