桩号,填方面积(㎡),挖方面积(㎡),清表面积(㎡),清表左边界X,清表右边界X,top,CRR,C1,C2,G15,G7,top,CRR,C1,C2,G15,G17
K86+575,1.150,0.452,3.853,-6.122,6.626,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+600,2.115,0.126,3.970,-6.345,6.732,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+625,2.131,0.052,4.052,-6.683,6.694,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+650,1.758,0.246,3.932,-6.243,6.710,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+675,2.390,0.317,3.979,-5.950,7.196,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+700,1.433,0.052,4.043,-6.575,6.843,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+725,5.693,0.084,4.386,-6.480,7.394,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+750,8.745,0.000,5.205,-9.557,7.656,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+775,8.604,0.106,5.927,-9.559,10.057,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+800,11.131,0.000,5.604,-8.201,10.294,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+825,13.558,0.000,6.210,-10.139,10.475,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+850,15.253,0.000,6.143,-10.095,10.354,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+875,15.538,0.000,6.342,-10.379,10.533,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+900,17.002,0.000,6.444,-10.624,10.586,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+925,17.280,0.000,6.328,-10.456,10.538,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+950,18.170,0.000,6.483,-10.876,10.577,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K86+975,19.020,0.000,6.191,-10.123,10.039,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+000,11.465,0.000,6.224,-10.261,10.233,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+025,25.172,0.000,6.758,-10.922,11.497,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
K87+050,24.133,0.000,6.678,-10.778,11.430,0.253,0.789,0.837,0.884,0.932,0.979,0.253,0.789,0.837,0.884,0.932,0.979
